"","SIDO","GUGUN","YEAR","TOTAL","GUGUN_CODE"
"1","서울특별시","",2009,1216.7,NA
"2","서울특별시","강북지역",2009,1217.2,NA
"3","서울특별시","도심권",2009,NA,NA
"4","서울특별시","종로구",2009,1139.8,"1111"
"5","서울특별시","중구",2009,1185.2,"1114"
"6","서울특별시","용산구",2009,1297.8,"1117"
"7","서울특별시","동북권",2009,NA,NA
"8","서울특별시","성동구",2009,1249.4,"1120"
"9","서울특별시","광진구",2009,1120.9,"1121"
"10","서울특별시","동대문구",2009,1190.3,"1123"
"11","서울특별시","중랑구",2009,1192.4,"1126"
"12","서울특별시","성북구",2009,1224,"1129"
"13","서울특별시","강북구",2009,1205.8,"1130"
"14","서울특별시","도봉구",2009,1319.6,"1132"
"15","서울특별시","노원구",2009,1265,"1135"
"16","서울특별시","서북권",2009,NA,NA
"17","서울특별시","은평구",2009,1200.8,"1138"
"18","서울특별시","서대문구",2009,1198.7,"1141"
"19","서울특별시","마포구",2009,1155.3,"1144"
"20","서울특별시","강남지역",2009,1216.5,NA
"21","서울특별시","서남권",2009,NA,NA
"22","서울특별시","양천구",2009,1246.2,"1147"
"23","서울특별시","강서구",2009,1281.2,"1150"
"24","서울특별시","구로구",2009,1236.2,"1153"
"25","서울특별시","금천구",2009,1215.3,"1154"
"26","서울특별시","영등포구",2009,1231.3,"1156"
"27","서울특별시","동작구",2009,1188.4,"1159"
"28","서울특별시","관악구",2009,1149.8,"1162"
"29","서울특별시","동남권",2009,NA,NA
"30","서울특별시","서초구",2009,1164.5,"1165"
"31","서울특별시","강남구",2009,1227.3,"1168"
"32","서울특별시","송파구",2009,1208.6,"1171"
"33","서울특별시","강동구",2009,1204.1,"1174"
"34","경기도","",2009,1211.1,NA
"35","경기도","경부1권",2009,NA,NA
"36","경기도","과천시",2009,1289.7,"4129"
"37","경기도","안양시",2009,1207.2,"4117"
"38","경기도","만안구",2009,1201.3,NA
"39","경기도","동안구",2009,1212.8,NA
"40","경기도","성남시",2009,1263.1,"4113"
"41","경기도","수정구",2009,1240.5,NA
"42","경기도","중원구",2009,1194.7,NA
"43","경기도","분당구",2009,1304.9,NA
"44","경기도","군포시",2009,1202,"4141"
"45","경기도","의왕시",2009,1180,"4143"
"46","경기도","경부2권",2009,NA,NA
"47","경기도","안성시",2009,1009.3,"4155"
"48","경기도","용인시",2009,1284.5,"4146"
"49","경기도","처인구",2009,1235.4,NA
"50","경기도","기흥구",2009,1306.3,NA
"51","경기도","수지구",2009,1298.3,NA
"52","경기도","수원시",2009,1124.2,"4111"
"53","경기도","장안구",2009,1135.6,NA
"54","경기도","권선구",2009,1152.4,NA
"55","경기도","팔달구",2009,1105.6,NA
"56","경기도","영통구",2009,1105.2,NA
"57","경기도","서해안권",2009,NA,NA
"58","경기도","부천시",2009,1244,"4119"
"59","경기도","(구)원미구",2009,1258.4,NA
"60","경기도","(구)소사구",2009,1231.2,NA
"61","경기도","(구)오정구",2009,1233.2,NA
"62","경기도","안산시",2009,1115.8,"4127"
"63","경기도","상록구",2009,1084.6,NA
"64","경기도","단원구",2009,1148.5,NA
"65","경기도","시흥시",2009,1179.6,"4139"
"66","경기도","광명시",2009,1132.5,"4121"
"67","경기도","화성시",2009,1139.2,"4159"
"68","경기도","오산시",2009,1064.8,"4137"
"69","경기도","평택시",2009,1051.3,"4122"
"70","경기도","동부1권",2009,NA,NA
"71","경기도","남양주시",2009,1283.1,"4136"
"72","경기도","구리시",2009,1214.5,"4131"
"73","경기도","하남시",2009,1187,"4145"
"74","경기도","광주시",2009,1318.7,"4161"
"75","경기도","동부2권",2009,NA,NA
"76","경기도","이천시",2009,1066.2,"4150"
"77","경기도","여주시",2009,NA,"4167"
"78","경기도","경의권",2009,NA,NA
"79","경기도","김포시",2009,1269.6,"4157"
"80","경기도","고양시",2009,1277.7,"4128"
"81","경기도","덕양구",2009,1240.2,NA
"82","경기도","일산동구",2009,1259.2,NA
"83","경기도","일산서구",2009,1344.6,NA
"84","경기도","파주시",2009,1342,"4148"
"85","경기도","경원권",2009,NA,NA
"86","경기도","포천시",2009,NA,"4165"
"87","경기도","동두천시",2009,1440.3,"4125"
"88","경기도","양주시",2009,1382,"4163"
"89","경기도","의정부시",2009,1321.6,"4115"
"90","인천광역시","",2009,1254,NA
"91","인천광역시","중구",2009,1379.2,"2811"
"92","인천광역시","동구",2009,1217.7,"2814"
"93","인천광역시","남구",2009,1295.7,"2817"
"94","인천광역시","연수구",2009,1200.5,"2818"
"95","인천광역시","남동구",2009,1227.5,"2820"
"96","인천광역시","부평구",2009,1212.5,"2823"
"97","인천광역시","계양구",2009,1206.7,"2824"
"98","인천광역시","서구",2009,1347.3,"2826"
"99","부산광역시","",2009,909.8,NA
"100","부산광역시","중부산권",2009,NA,NA
"101","부산광역시","중구",2009,977.3,"2611"
"102","부산광역시","서구",2009,1036.2,"2614"
"103","부산광역시","동구",2009,1089,"2617"
"104","부산광역시","영도구",2009,994.4,"2620"
"105","부산광역시","부산진구",2009,909.6,"2623"
"106","부산광역시","남구",2009,895.6,"2629"
"107","부산광역시","연제구",2009,949.5,"2647"
"108","부산광역시","수영구",2009,945.7,"2650"
"109","부산광역시","동부산권",2009,NA,NA
"110","부산광역시","해운대구",2009,904.8,"2635"
"111","부산광역시","금정구",2009,930.8,"2641"
"112","부산광역시","동래구",2009,946.6,"2626"
"113","부산광역시","기장군",2009,917.7,"2671"
"114","부산광역시","서부산권",2009,NA,NA
"115","부산광역시","북구",2009,804.9,"2632"
"116","부산광역시","강서구",2009,NA,"2644"
"117","부산광역시","사상구",2009,795,"2653"
"118","부산광역시","사하구",2009,894.7,"2638"
"119","대구광역시","",2009,854.1,NA
"120","대구광역시","중구",2009,992.9,"2711"
"121","대구광역시","동구",2009,904.5,"2714"
"122","대구광역시","서구",2009,991.9,"2717"
"123","대구광역시","남구",2009,1048.6,"2720"
"124","대구광역시","북구",2009,801.1,"2723"
"125","대구광역시","수성구",2009,835.6,"2726"
"126","대구광역시","달서구",2009,768.5,"2729"
"127","대구광역시","달성군",2009,867.1,"2771"
"128","광주광역시","",2009,933.7,NA
"129","광주광역시","동구",2009,1035.8,"2911"
"130","광주광역시","서구",2009,914.1,"2914"
"131","광주광역시","남구",2009,989.3,"2915"
"132","광주광역시","북구",2009,897.2,"2917"
"133","광주광역시","광산구",2009,926.3,"2920"
"134","대전광역시","",2009,976.9,NA
"135","대전광역시","동구",2009,986.8,"3011"
"136","대전광역시","중구",2009,989.3,"3014"
"137","대전광역시","서구",2009,979.7,"3017"
"138","대전광역시","유성구",2009,1038,"3020"
"139","대전광역시","대덕구",2009,901.6,"3023"
"140","울산광역시","",2009,936.1,NA
"141","울산광역시","중구",2009,948.3,"3111"
"142","울산광역시","남구",2009,955.1,"3114"
"143","울산광역시","동구",2009,892,"3117"
"144","울산광역시","북구",2009,879.9,"3120"
"145","울산광역시","울주군",2009,938.7,"3171"
"146","세종특별자치시","",2009,NA,NA
"147","강원도","",2009,995.6,NA
"148","강원도","춘천시",2009,976,"4211"
"149","강원도","원주시",2009,1022.8,"4213"
"150","강원도","강릉시",2009,931.2,"4215"
"151","강원도","동해시",2009,NA,"4217"
"152","강원도","태백시",2009,NA,"4219"
"153","강원도","속초시",2009,NA,"4221"
"154","강원도","삼척시",2009,NA,"4223"
"155","충청북도","",2009,920.3,NA
"156","충청북도","충주시",2009,948.1,"4313"
"157","충청북도","제천시",2009,NA,"4315"
"158","충청북도","음성군",2009,NA,"4377"
"159","충청남도","",2009,1003.8,NA
"160","충청남도","천안시",2009,924.7,"4413"
"161","충청남도","동남구",2009,952.3,NA
"162","충청남도","서북구",2009,903.9,NA
"163","충청남도","공주시",2009,1102.6,"4415"
"164","충청남도","보령시",2009,NA,"4418"
"165","충청남도","아산시",2009,956.4,"4420"
"166","충청남도","서산시",2009,NA,"4421"
"167","충청남도","논산시",2009,1084.9,"4423"
"168","충청남도","계룡시",2009,1063.7,"4425"
"169","충청남도","홍성군",2009,NA,"4480"
"170","충청남도","예산군",2009,NA,"4481"
"171","충청남도","당진시",2009,NA,"4427"
"172","전라북도","",2009,1006,NA
"173","전라북도","전주시",2009,953.7,"4511"
"174","전라북도","완산구",2009,942.2,NA
"175","전라북도","덕진구",2009,968.5,NA
"176","전라북도","군산시",2009,1083.4,"4513"
"177","전라북도","익산시",2009,1082,"4514"
"178","전라북도","정읍시",2009,NA,"4518"
"179","전라북도","남원시",2009,NA,"4519"
"180","전라북도","김제시",2009,NA,"4521"
"181","전라남도","",2009,1056.8,NA
"182","전라남도","목포시",2009,1005.6,"4611"
"183","전라남도","여수시",2009,1116,"4613"
"184","전라남도","순천시",2009,1118.3,"4615"
"185","전라남도","나주시",2009,NA,"4617"
"186","전라남도","광양시",2009,960.2,"4623"
"187","전라남도","무안군",2009,NA,"4684"
"188","경상북도","",2009,977.1,NA
"189","경상북도","포항시",2009,918.3,"4711"
"190","경상북도","남구",2009,947.4,NA
"191","경상북도","북구",2009,890.3,NA
"192","경상북도","경주시",2009,NA,"4713"
"193","경상북도","김천시",2009,NA,"4715"
"194","경상북도","안동시",2009,NA,"4717"
"195","경상북도","구미시",2009,911.3,"4719"
"196","경상북도","영주시",2009,NA,"4721"
"197","경상북도","영천시",2009,NA,"4723"
"198","경상북도","상주시",2009,NA,"4725"
"199","경상북도","문경시",2009,NA,"4728"
"200","경상북도","경산시",2009,867.9,"4729"
"201","경상북도","칠곡군",2009,NA,"4785"
"202","경상남도","",2009,865.3,NA
"203","경상남도","창원시",2009,797.2,"4812"
"204","경상남도","의창구",2009,808.8,NA
"205","경상남도","성산구",2009,709.2,NA
"206","경상남도","마산합포구",2009,813.4,NA
"207","경상남도","마산회원구",2009,862.5,NA
"208","경상남도","진해구",2009,812.5,NA
"209","경상남도","진주시",2009,1128.6,"4817"
"210","경상남도","통영시",2009,NA,"4822"
"211","경상남도","사천시",2009,NA,"4824"
"212","경상남도","김해시",2009,873.4,"4825"
"213","경상남도","밀양시",2009,NA,"4827"
"214","경상남도","거제시",2009,822.7,"4831"
"215","경상남도","양산시",2009,843,"4833"
"216","제주특별자치도","",2009,990.8,NA
"217","제주특별자치도","제주시",2009,990.4,"5011"
"218","제주특별자치도","서귀포시",2009,942.2,"5013"
"219","서울특별시","",2010,1238.4,NA
"220","서울특별시","강북지역",2010,1234.8,NA
"221","서울특별시","도심권",2010,NA,NA
"222","서울특별시","종로구",2010,1169.7,"1111"
"223","서울특별시","중구",2010,1212.3,"1114"
"224","서울특별시","용산구",2010,1305,"1117"
"225","서울특별시","동북권",2010,NA,NA
"226","서울특별시","성동구",2010,1247.9,"1120"
"227","서울특별시","광진구",2010,1165.4,"1121"
"228","서울특별시","동대문구",2010,1215.6,"1123"
"229","서울특별시","중랑구",2010,1211.1,"1126"
"230","서울특별시","성북구",2010,1232.1,"1129"
"231","서울특별시","강북구",2010,1254.3,"1130"
"232","서울특별시","도봉구",2010,1315.5,"1132"
"233","서울특별시","노원구",2010,1261.9,"1135"
"234","서울특별시","서북권",2010,NA,NA
"235","서울특별시","은평구",2010,1220.9,"1138"
"236","서울특별시","서대문구",2010,1230.6,"1141"
"237","서울특별시","마포구",2010,1188,"1144"
"238","서울특별시","강남지역",2010,1241.9,NA
"239","서울특별시","서남권",2010,NA,NA
"240","서울특별시","양천구",2010,1276.5,"1147"
"241","서울특별시","강서구",2010,1284.4,"1150"
"242","서울특별시","구로구",2010,1235.5,"1153"
"243","서울특별시","금천구",2010,1224.1,"1154"
"244","서울특별시","영등포구",2010,1253.9,"1156"
"245","서울특별시","동작구",2010,1206.9,"1159"
"246","서울특별시","관악구",2010,1200.5,"1162"
"247","서울특별시","동남권",2010,NA,NA
"248","서울특별시","서초구",2010,1201.7,"1165"
"249","서울특별시","강남구",2010,1258.1,"1168"
"250","서울특별시","송파구",2010,1240.2,"1171"
"251","서울특별시","강동구",2010,1242.7,"1174"
"252","경기도","",2010,1206.5,NA
"253","경기도","경부1권",2010,NA,NA
"254","경기도","과천시",2010,1323.5,"4129"
"255","경기도","안양시",2010,1200.9,"4117"
"256","경기도","만안구",2010,1204,NA
"257","경기도","동안구",2010,1200.7,NA
"258","경기도","성남시",2010,1262.3,"4113"
"259","경기도","수정구",2010,1247.8,NA
"260","경기도","중원구",2010,1212.1,NA
"261","경기도","분당구",2010,1292.1,NA
"262","경기도","군포시",2010,1191,"4141"
"263","경기도","의왕시",2010,1151.2,"4143"
"264","경기도","경부2권",2010,NA,NA
"265","경기도","안성시",2010,1012.4,"4155"
"266","경기도","용인시",2010,1263,"4146"
"267","경기도","처인구",2010,1226.5,NA
"268","경기도","기흥구",2010,1278.4,NA
"269","경기도","수지구",2010,1274.1,NA
"270","경기도","수원시",2010,1141.7,"4111"
"271","경기도","장안구",2010,1148.1,NA
"272","경기도","권선구",2010,1174,NA
"273","경기도","팔달구",2010,1127.7,NA
"274","경기도","영통구",2010,1120.2,NA
"275","경기도","서해안권",2010,NA,NA
"276","경기도","부천시",2010,1259.9,"4119"
"277","경기도","(구)원미구",2010,1266.5,NA
"278","경기도","(구)소사구",2010,1247.3,NA
"279","경기도","(구)오정구",2010,1263.5,NA
"280","경기도","안산시",2010,1112.9,"4127"
"281","경기도","상록구",2010,1085.3,NA
"282","경기도","단원구",2010,1141,NA
"283","경기도","시흥시",2010,1177.1,"4139"
"284","경기도","광명시",2010,1119.8,"4121"
"285","경기도","화성시",2010,1144.5,"4159"
"286","경기도","오산시",2010,1080.6,"4137"
"287","경기도","평택시",2010,1061.3,"4122"
"288","경기도","동부1권",2010,NA,NA
"289","경기도","남양주시",2010,1270.9,"4136"
"290","경기도","구리시",2010,1220.1,"4131"
"291","경기도","하남시",2010,1196.3,"4145"
"292","경기도","광주시",2010,1268.7,"4161"
"293","경기도","동부2권",2010,NA,NA
"294","경기도","이천시",2010,1088.6,"4150"
"295","경기도","여주시",2010,NA,"4167"
"296","경기도","경의권",2010,NA,NA
"297","경기도","김포시",2010,1267.9,"4157"
"298","경기도","고양시",2010,1253.2,"4128"
"299","경기도","덕양구",2010,1231.6,NA
"300","경기도","일산동구",2010,1227,NA
"301","경기도","일산서구",2010,1304.1,NA
"302","경기도","파주시",2010,1312.2,"4148"
"303","경기도","경원권",2010,NA,NA
"304","경기도","포천시",2010,NA,"4165"
"305","경기도","동두천시",2010,1373.8,"4125"
"306","경기도","양주시",2010,1343.2,"4163"
"307","경기도","의정부시",2010,1290.3,"4115"
"308","인천광역시","",2010,1255.5,NA
"309","인천광역시","중구",2010,1389.2,"2811"
"310","인천광역시","동구",2010,1240.1,"2814"
"311","인천광역시","남구",2010,1300.9,"2817"
"312","인천광역시","연수구",2010,1193.7,"2818"
"313","인천광역시","남동구",2010,1235.4,"2820"
"314","인천광역시","부평구",2010,1229.7,"2823"
"315","인천광역시","계양구",2010,1191.7,"2824"
"316","인천광역시","서구",2010,1329.4,"2826"
"317","부산광역시","",2010,982.9,NA
"318","부산광역시","중부산권",2010,NA,NA
"319","부산광역시","중구",2010,998.9,"2611"
"320","부산광역시","서구",2010,1075.3,"2614"
"321","부산광역시","동구",2010,1095.3,"2617"
"322","부산광역시","영도구",2010,1072.6,"2620"
"323","부산광역시","부산진구",2010,977.7,"2623"
"324","부산광역시","남구",2010,953.1,"2629"
"325","부산광역시","연제구",2010,1006.7,"2647"
"326","부산광역시","수영구",2010,1013.8,"2650"
"327","부산광역시","동부산권",2010,NA,NA
"328","부산광역시","해운대구",2010,999.7,"2635"
"329","부산광역시","금정구",2010,970.3,"2641"
"330","부산광역시","동래구",2010,1010.8,"2626"
"331","부산광역시","기장군",2010,991.3,"2671"
"332","부산광역시","서부산권",2010,NA,NA
"333","부산광역시","북구",2010,910.4,"2632"
"334","부산광역시","강서구",2010,NA,"2644"
"335","부산광역시","사상구",2010,894.9,"2653"
"336","부산광역시","사하구",2010,981.9,"2638"
"337","대구광역시","",2010,863.7,NA
"338","대구광역시","중구",2010,997.9,"2711"
"339","대구광역시","동구",2010,903.2,"2714"
"340","대구광역시","서구",2010,995.4,"2717"
"341","대구광역시","남구",2010,1048.6,"2720"
"342","대구광역시","북구",2010,809.5,"2723"
"343","대구광역시","수성구",2010,836.8,"2726"
"344","대구광역시","달서구",2010,791.7,"2729"
"345","대구광역시","달성군",2010,889.7,"2771"
"346","광주광역시","",2010,938.5,NA
"347","광주광역시","동구",2010,1037.4,"2911"
"348","광주광역시","서구",2010,920.5,"2914"
"349","광주광역시","남구",2010,987.5,"2915"
"350","광주광역시","북구",2010,908.3,"2917"
"351","광주광역시","광산구",2010,926.8,"2920"
"352","대전광역시","",2010,1048,NA
"353","대전광역시","동구",2010,1047.3,"3011"
"354","대전광역시","중구",2010,1040.4,"3014"
"355","대전광역시","서구",2010,1076.2,"3017"
"356","대전광역시","유성구",2010,1090.4,"3020"
"357","대전광역시","대덕구",2010,968,"3023"
"358","울산광역시","",2010,971.9,NA
"359","울산광역시","중구",2010,982.4,"3111"
"360","울산광역시","남구",2010,1002.3,"3114"
"361","울산광역시","동구",2010,903.5,"3117"
"362","울산광역시","북구",2010,927.2,"3120"
"363","울산광역시","울주군",2010,971.8,"3171"
"364","세종특별자치시","",2010,NA,NA
"365","강원도","",2010,1015.2,NA
"366","강원도","춘천시",2010,1031.7,"4211"
"367","강원도","원주시",2010,1018.6,"4213"
"368","강원도","강릉시",2010,929.6,"4215"
"369","강원도","동해시",2010,NA,"4217"
"370","강원도","태백시",2010,NA,"4219"
"371","강원도","속초시",2010,NA,"4221"
"372","강원도","삼척시",2010,NA,"4223"
"373","충청북도","",2010,952.6,NA
"374","충청북도","충주시",2010,977.4,"4313"
"375","충청북도","제천시",2010,NA,"4315"
"376","충청북도","음성군",2010,NA,"4377"
"377","충청남도","",2010,1011.6,NA
"378","충청남도","천안시",2010,929.3,"4413"
"379","충청남도","동남구",2010,954,NA
"380","충청남도","서북구",2010,910.5,NA
"381","충청남도","공주시",2010,1085.4,"4415"
"382","충청남도","보령시",2010,NA,"4418"
"383","충청남도","아산시",2010,974.6,"4420"
"384","충청남도","서산시",2010,NA,"4421"
"385","충청남도","논산시",2010,1107.9,"4423"
"386","충청남도","계룡시",2010,1110.2,"4425"
"387","충청남도","홍성군",2010,NA,"4480"
"388","충청남도","예산군",2010,NA,"4481"
"389","충청남도","당진시",2010,NA,"4427"
"390","전라북도","",2010,1065.6,NA
"391","전라북도","전주시",2010,1040.9,"4511"
"392","전라북도","완산구",2010,1031.4,NA
"393","전라북도","덕진구",2010,1052.9,NA
"394","전라북도","군산시",2010,1098.5,"4513"
"395","전라북도","익산시",2010,1127,"4514"
"396","전라북도","정읍시",2010,NA,"4518"
"397","전라북도","남원시",2010,NA,"4519"
"398","전라북도","김제시",2010,NA,"4521"
"399","전라남도","",2010,1096,NA
"400","전라남도","목포시",2010,1034.3,"4611"
"401","전라남도","여수시",2010,1163.4,"4613"
"402","전라남도","순천시",2010,1144.7,"4615"
"403","전라남도","나주시",2010,NA,"4617"
"404","전라남도","광양시",2010,1057.8,"4623"
"405","전라남도","무안군",2010,NA,"4684"
"406","경상북도","",2010,978.3,NA
"407","경상북도","포항시",2010,931.5,"4711"
"408","경상북도","남구",2010,959.3,NA
"409","경상북도","북구",2010,904.6,NA
"410","경상북도","경주시",2010,NA,"4713"
"411","경상북도","김천시",2010,NA,"4715"
"412","경상북도","안동시",2010,NA,"4717"
"413","경상북도","구미시",2010,899.1,"4719"
"414","경상북도","영주시",2010,NA,"4721"
"415","경상북도","영천시",2010,NA,"4723"
"416","경상북도","상주시",2010,NA,"4725"
"417","경상북도","문경시",2010,NA,"4728"
"418","경상북도","경산시",2010,864.5,"4729"
"419","경상북도","칠곡군",2010,NA,"4785"
"420","경상남도","",2010,918.1,NA
"421","경상남도","창원시",2010,857.4,"4812"
"422","경상남도","의창구",2010,865.5,NA
"423","경상남도","성산구",2010,810,NA
"424","경상남도","마산합포구",2010,846.6,NA
"425","경상남도","마산회원구",2010,911.6,NA
"426","경상남도","진해구",2010,863,NA
"427","경상남도","진주시",2010,1133.5,"4817"
"428","경상남도","통영시",2010,NA,"4822"
"429","경상남도","사천시",2010,NA,"4824"
"430","경상남도","김해시",2010,933.2,"4825"
"431","경상남도","밀양시",2010,NA,"4827"
"432","경상남도","거제시",2010,904.1,"4831"
"433","경상남도","양산시",2010,891.5,"4833"
"434","제주특별자치도","",2010,1033.6,NA
"435","제주특별자치도","제주시",2010,1031.6,"5011"
"436","제주특별자치도","서귀포시",2010,1003.2,"5013"
"437","서울특별시","",2011,1237.7,NA
"438","서울특별시","강북지역",2011,1230.6,NA
"439","서울특별시","도심권",2011,NA,NA
"440","서울특별시","종로구",2011,1185.4,"1111"
"441","서울특별시","중구",2011,1225.3,"1114"
"442","서울특별시","용산구",2011,1280.7,"1117"
"443","서울특별시","동북권",2011,NA,NA
"444","서울특별시","성동구",2011,1244,"1120"
"445","서울특별시","광진구",2011,1209.7,"1121"
"446","서울특별시","동대문구",2011,1228.6,"1123"
"447","서울특별시","중랑구",2011,1215.7,"1126"
"448","서울특별시","성북구",2011,1222.6,"1129"
"449","서울특별시","강북구",2011,1250.7,"1130"
"450","서울특별시","도봉구",2011,1291.5,"1132"
"451","서울특별시","노원구",2011,1232.5,"1135"
"452","서울특별시","서북권",2011,NA,NA
"453","서울특별시","은평구",2011,1210.5,"1138"
"454","서울특별시","서대문구",2011,1244.7,"1141"
"455","서울특별시","마포구",2011,1187.3,"1144"
"456","서울특별시","강남지역",2011,1244.8,NA
"457","서울특별시","서남권",2011,NA,NA
"458","서울특별시","양천구",2011,1274.3,"1147"
"459","서울특별시","강서구",2011,1278.1,"1150"
"460","서울특별시","구로구",2011,1224.7,"1153"
"461","서울특별시","금천구",2011,1225.7,"1154"
"462","서울특별시","영등포구",2011,1244.9,"1156"
"463","서울특별시","동작구",2011,1208.1,"1159"
"464","서울특별시","관악구",2011,1219.8,"1162"
"465","서울특별시","동남권",2011,NA,NA
"466","서울특별시","서초구",2011,1214.2,"1165"
"467","서울특별시","강남구",2011,1256.4,"1168"
"468","서울특별시","송파구",2011,1249.7,"1171"
"469","서울특별시","강동구",2011,1260.6,"1174"
"470","경기도","",2011,1207,NA
"471","경기도","경부1권",2011,NA,NA
"472","경기도","과천시",2011,1280.8,"4129"
"473","경기도","안양시",2011,1205.8,"4117"
"474","경기도","만안구",2011,1220.8,NA
"475","경기도","동안구",2011,1198.3,NA
"476","경기도","성남시",2011,1246,"4113"
"477","경기도","수정구",2011,1223.7,NA
"478","경기도","중원구",2011,1192.9,NA
"479","경기도","분당구",2011,1279.8,NA
"480","경기도","군포시",2011,1195.6,"4141"
"481","경기도","의왕시",2011,1161.4,"4143"
"482","경기도","경부2권",2011,NA,NA
"483","경기도","안성시",2011,1038.3,"4155"
"484","경기도","용인시",2011,1254.2,"4146"
"485","경기도","처인구",2011,1223.9,NA
"486","경기도","기흥구",2011,1253,NA
"487","경기도","수지구",2011,1274.6,NA
"488","경기도","수원시",2011,1168.9,"4111"
"489","경기도","장안구",2011,1166.2,NA
"490","경기도","권선구",2011,1199.9,NA
"491","경기도","팔달구",2011,1162.8,NA
"492","경기도","영통구",2011,1151.6,NA
"493","경기도","서해안권",2011,NA,NA
"494","경기도","부천시",2011,1255.8,"4119"
"495","경기도","(구)원미구",2011,1261,NA
"496","경기도","(구)소사구",2011,1246.7,NA
"497","경기도","(구)오정구",2011,1258.2,NA
"498","경기도","안산시",2011,1127.3,"4127"
"499","경기도","상록구",2011,1109.6,NA
"500","경기도","단원구",2011,1144.8,NA
"501","경기도","시흥시",2011,1176.6,"4139"
"502","경기도","광명시",2011,1111.8,"4121"
"503","경기도","화성시",2011,1175.2,"4159"
"504","경기도","오산시",2011,1132,"4137"
"505","경기도","평택시",2011,1100.1,"4122"
"506","경기도","동부1권",2011,NA,NA
"507","경기도","남양주시",2011,1268,"4136"
"508","경기도","구리시",2011,1222.7,"4131"
"509","경기도","하남시",2011,1194.4,"4145"
"510","경기도","광주시",2011,1223.7,"4161"
"511","경기도","동부2권",2011,NA,NA
"512","경기도","이천시",2011,1116.7,"4150"
"513","경기도","여주시",2011,NA,"4167"
"514","경기도","경의권",2011,NA,NA
"515","경기도","김포시",2011,1220.7,"4157"
"516","경기도","고양시",2011,1223.8,"4128"
"517","경기도","덕양구",2011,1219.5,NA
"518","경기도","일산동구",2011,1191.3,NA
"519","경기도","일산서구",2011,1255.4,NA
"520","경기도","파주시",2011,1299.7,"4148"
"521","경기도","경원권",2011,NA,NA
"522","경기도","포천시",2011,NA,"4165"
"523","경기도","동두천시",2011,1343.9,"4125"
"524","경기도","양주시",2011,1299.6,"4163"
"525","경기도","의정부시",2011,1287.4,"4115"
"526","인천광역시","",2011,1238.5,NA
"527","인천광역시","중구",2011,1374.3,"2811"
"528","인천광역시","동구",2011,1237,"2814"
"529","인천광역시","남구",2011,1284.7,"2817"
"530","인천광역시","연수구",2011,1168.8,"2818"
"531","인천광역시","남동구",2011,1231.9,"2820"
"532","인천광역시","부평구",2011,1222.3,"2823"
"533","인천광역시","계양구",2011,1182.3,"2824"
"534","인천광역시","서구",2011,1283.2,"2826"
"535","부산광역시","",2011,1137.1,NA
"536","부산광역시","중부산권",2011,NA,NA
"537","부산광역시","중구",2011,1106.1,"2611"
"538","부산광역시","서구",2011,1147.4,"2614"
"539","부산광역시","동구",2011,1139,"2617"
"540","부산광역시","영도구",2011,1167.3,"2620"
"541","부산광역시","부산진구",2011,1120.7,"2623"
"542","부산광역시","남구",2011,1093.1,"2629"
"543","부산광역시","연제구",2011,1114.4,"2647"
"544","부산광역시","수영구",2011,1120,"2650"
"545","부산광역시","동부산권",2011,NA,NA
"546","부산광역시","해운대구",2011,1170.3,"2635"
"547","부산광역시","금정구",2011,1117.1,"2641"
"548","부산광역시","동래구",2011,1138.3,"2626"
"549","부산광역시","기장군",2011,1107.6,"2671"
"550","부산광역시","서부산권",2011,NA,NA
"551","부산광역시","북구",2011,1151.8,"2632"
"552","부산광역시","강서구",2011,NA,"2644"
